17775,1,818;;;;;;;
17974,1,820;818;729;;-89;7921;;
18158,1,823;820;596;;-224;50176;;
18350,1,829;823;818;;-5;25;;
18709,1,444;829;820;;-9;81;;
18816,1,499;444;823;;379;143641;;
19140,1,522;499;829;;330;108900;;
19207,1,393;522;444;;-78;6084;;
19618,1,0;393;499;;106;11236;;
19618,1,0;0;522;;522;272484;;
19726,1,0;0;393;;393;154449;;
19917,1,0;0;0;;0;0;;
20109,1,0;0;0;;0;0;;
20301,1,0;;0;;0;754997;868,9056335;78,99142123
20493,1,0;;0;;0;;1026,888476;
;;;;0;;;
;;;;0;;;
;;;;0;;;
;;;;0;;;
